,plot,end_of_season_dry_biomass,accumulated_heat_units,lateStage_NGRDI,lateStage_RGBVI,lateStage_GLI,lateStage_VARI,lateStage_RBRGB,lateStage_IPCA,lateStage_I1,lateStage_I2,lateStage_normalizedNGRDI,lateStage_normalizedRGBVI,lateStage_normalizedGLI,lateStage_normalizedVARI,lateStage_normalizedRBRGB,lateStage_normalizedIPCA,lateStage_normalizedI1,lateStage_normalizedI2,matureStage_NGRDI,matureStage_RGBVI,matureStage_GLI,matureStage_VARI,matureStage_RBRGB,matureStage_IPCA,matureStage_I1,matureStage_I2,matureStage_normalizedNGRDI,matureStage_normalizedRGBVI,matureStage_normalizedGLI,matureStage_normalizedVARI,matureStage_normalizedRBRGB,matureStage_normalizedIPCA,matureStage_normalizedI1,matureStage_normalizedI2,reproStage_NGRDI,reproStage_RGBVI,reproStage_GLI,reproStage_VARI,reproStage_RBRGB,reproStage_IPCA,reproStage_I1,reproStage_I2,reproStage_normalizedNGRDI,reproStage_normalizedRGBVI,reproStage_normalizedGLI,reproStage_normalizedVARI,reproStage_normalizedRBRGB,reproStage_normalizedIPCA,reproStage_normalizedI1,reproStage_normalizedI2
0,PI329480_00,18516.67351,5372,0.007505771207524931,0.14134876574389632,0.06640595362987364,0.013135612907353766,0.08039763439446683,82.88532394766807,57.273975163698196,0.4282926255837083,0.010161112955756803,0.14309791503474112,0.06730473940260703,0.016988552469592803,0.08088715463527474,78.24149274230004,54.03327105343342,0.4331539526581764,0.028449772682506546,0.16608046693727369,0.08027073214761908,0.047025514743290794,0.06937568217981602,71.55442984104157,48.179428374767305,0.4920021418482065,0.0299290426948573,0.16748542413115503,0.08108564480207855,0.049344351107720244,0.06863632898312058,64.75385711193084,43.28117538690567,0.4967896953225136,0.03775524915778696,0.16768806499434027,0.08188694707531338,0.06323465647146022,0.05863363207143573,67.67013268292268,44.979054139897144,0.5319106698354935,0.03904462613683329,0.17080377508452868,0.08342412628113902,0.06523991686934451,0.05816208930775758,59.8613520637553,39.49965896708443,0.5353212868147356
1,PI329480_01,11582.72473,5372,0.0021523226800703866,0.1426230191548423,0.06630699441018624,0.004045094937038527,0.0878873241202133,87.41831301479804,60.82238360149105,0.40327294170856476,0.004645197590345927,0.14365948859329628,0.06668000531996164,0.007521081117330309,0.08894270281420971,82.81066411879004,57.57678372685502,0.4086778547342231,0.022673782740743158,0.16524127531277982,0.07914999964399423,0.037405430118971815,0.07613871817158743,75.82948064200485,51.532277203813386,0.46747886455511745,0.024559117022063984,0.1668375122207629,0.08002131052692475,0.04022623774362494,0.0756723655364181,68.46985350983053,46.2284033328672,0.4731779875634592,0.03593196416663564,0.16860207733373309,0.0821470794982688,0.0598969871048317,0.06151859527237189,67.2543335404507,44.82964428081069,0.5225072688488073,0.03742355935622089,0.17103578670080313,0.08339225994639614,0.06218647718602831,0.06102876055465877,57.08003970079644,37.715595566949176,0.5261750009863876
2,PI527045_00,21741.73954,5372,-0.015333141965259353,0.11946672375713072,0.05359365695289199,-0.02362513477780985,0.09574253265346795,94.98604359218052,67.35364941188267,0.3541751388141087,-0.013558464026843544,0.11939248191458834,0.053494237874235386,-0.021332689656410327,0.09821422300168442,91.9850774710519,65.29870724269323,0.3563120491164071,0.0005809594027990455,0.11937671045946865,0.055720125703872504,0.0017929718582653242,0.07550834356504572,72.30141326236853,50.45878997910865,0.4225411451486654,0.0027335290970175938,0.12058502985814279,0.05612291183409299,0.0048106424972430804,0.07603870574818097,68.42861194388811,47.7011624491492,0.4272393170137738,0.027675377019232218,0.15211897065448016,0.0737472729940797,0.046572827092260856,0.06167041093419867,62.131933291341355,41.78420491786819,0.5049507043522257,0.02910766362844735,0.15353138659902188,0.07447071740201096,0.04876996967169436,0.060977670870759906,55.712333194950084,37.18615903508478,0.5091228996224971
3,PI527045_01,10947.22355,5372,-0.0069408551522064646,0.13198519552747404,0.06038321110109485,-0.010323361100745353,0.09289375608166055,87.22882464090983,61.28685956319173,0.37625023821989695,-0.005078885345331677,0.1330380947887897,0.06051586131254827,-0.007938951711985255,0.09408681983749068,83.16519446055095,58.45365709940592,0.3796451906363169,0.000988714754278001,0.12842026289576794,0.05999719237093048,0.0025879832616553656,0.08081119239719861,67.64830716451009,47.17031224568685,0.4145432186672111,0.002568077118738462,0.12898319438586822,0.060283391158175575,0.0046292474391663495,0.0802480176919036,61.84110903272442,43.0007433049819,0.41883186986243803,0.0246751152378859,0.15432943761517098,0.07444336711518504,0.04130216847873672,0.0668380087041585,68.36185052300577,46.21580661622818,0.48900020577139774,0.02604722722543999,0.15564075213367656,0.07515391155993194,0.04321473077107953,0.06624555779294775,59.44644327756375,39.845282199019096,0.49244334569758613
4,PI562997_00,32515.06412,5372,0.014687129522556446,0.1702049828840024,0.08023693979238014,0.02350954192330718,0.08896103668393507,101.04173112349076,69.41259933240485,0.4253596871188193,0.016723232689158325,0.1721470737547585,0.08102501427585423,0.026455166432159824,0.09045814539898521,97.09723318851356,66.61948799364495,0.43176760962515165,0.024018572862379513,0.1614614876286041,0.07746975354649706,0.03937367879413479,0.0718861364858048,76.05737836401289,51.59067879949968,0.47699373599254724,0.0266303433133571,0.16361301017530036,0.07869381489175735,0.043373841560925455,0.07124127104426872,70.82702225193833,47.83545729897239,0.485306215466875,0.04269223950091704,0.17682980197701562,0.08658374663902799,0.07129991332885251,0.058135406040910886,65.06965965099549,42.99603515796447,0.5432960630467768,0.04453121593452233,0.1787213883624318,0.08757931310055626,0.07421522160594379,0.057194696969530515,58.77512013510372,38.611281753925795,0.5482309325022644
5,PI562997_01,10897.57063,5372,-0.0032604907819537518,0.12119605172122196,0.05580550826899315,-0.0034895669524305072,0.08166024558603885,69.41880895499148,48.72229712691337,0.4054414762771204,-0.0010104693431615703,0.12164937250611677,0.05613745891319929,-0.0005507046064057646,0.08128753788613698,64.14279342842501,45.019244542450394,0.4102255434171143,0.028128825243752237,0.16129058390665965,0.07805960793878618,0.04692454086497991,0.06685540390906815,59.769245220597384,40.21247749571587,0.4966898038508786,0.03073879472828305,0.16212095120909867,0.07870502803166196,0.05109565869377103,0.06560325641540961,56.07311808835169,37.4865303889961,0.5051466680256425,0.03932405058826714,0.17129754143101827,0.08377141848206517,0.06559502180133543,0.05894833154976364,59.92109022957938,39.701643949236185,0.5345767804554531,0.04096643198813707,0.17353610881737297,0.0849357550484793,0.06833018503018784,0.058276208798800154,55.09343527657645,36.27663993835449,0.539139358997345
6,PI570110_00,30120.49678,5372,0.02027034609590113,0.16917251948362738,0.08064173821073307,0.03269405035191593,0.08141321488297898,90.912229684683,62.01415796768971,0.4511184023740964,0.02129885359868352,0.17256037824046913,0.08221416309093812,0.03422488463510462,0.08260828182578847,87.12520973499005,59.311646363674065,0.45414042663879883,0.034731539148153946,0.17826174852058027,0.08650642712793402,0.057024803905356525,0.06900826958421415,73.7819620617748,49.372894715980664,0.5054896888295575,0.035908272533991585,0.18024691075262939,0.08754710412237061,0.05892763399248994,0.06845163011691975,67.3399670843542,44.75411839456953,0.5092787419903207,0.0422718723579121,0.17381844518846165,0.08514793159041788,0.07081438114360573,0.05678157887362327,67.89647332781313,44.867812393717685,0.5450475401961046,0.04385218714401552,0.17595170851732264,0.0862348889770535,0.07321412997008055,0.0562164523676468,60.5522054330462,39.73960256300909,0.5486580474528274
7,PI570110_01,2667.405881,5372,0.007888985162848925,0.14741781416038668,0.06915660812297743,0.013929044826259715,0.08374874227281123,78.16612209592547,54.10664222353981,0.4239074367852438,0.009886711851539134,0.1485804954011525,0.06981040464181981,0.016770474014402015,0.08380716928236537,73.20074234689984,50.60286239215306,0.42936936020851135,0.027470789616221902,0.15940540401321468,0.07714002732977718,0.045879469322971954,0.0665447230591918,57.20580172683253,38.49531411835642,0.4958890049746542,0.03027629663490432,0.16125515062700618,0.07831059308214616,0.050312882960971514,0.06543085317720063,52.60185440525864,35.160784750273734,0.5040794800628315,0.038956380623218725,0.16303905783282532,0.07989167233744816,0.06577584090141146,0.05427695417797169,55.23937073382702,36.50243735051417,0.5431675562164285,0.04070139631301487,0.16548251909214062,0.08119483601179092,0.06861784855661153,0.053489225701643835,50.36409222948682,33.06821874471811,0.5475003103633503
8,PI651496_00,29653.73847,5372,0.013457588030018272,0.15335816063664173,0.07261804746407446,0.02239753991469277,0.08023430075157768,81.02683036110618,55.70556039521188,0.44046256054531446,0.015153433803899283,0.15665978631286906,0.07416183849175767,0.024893820052790047,0.08114286803386424,76.05615545330626,52.14097001046846,0.4448854410287106,0.033052016563850636,0.1678388468875475,0.08160082913615216,0.054908362451506494,0.06471667760994533,63.481315016015174,42.3903042962946,0.510812725391856,0.03500842676709396,0.16875186644814497,0.08215699952804234,0.05814314712456029,0.06416273978681648,60.01107552885278,39.846295889169895,0.5166321170110644,0.039169636056093186,0.16670773630695684,0.08163395191409754,0.06588654086503773,0.056341291116994006,58.81499517531622,38.80792041051956,0.5399802360861075,0.04169651889519407,0.16829070652879416,0.08254024594844803,0.06996950559828072,0.05555940155560767,53.82855816114517,35.23831420853024,0.545893538388468
9,PI651496_01,17910.81518,5372,0.0012782057695058518,0.1376239574161069,0.06387348044021371,0.003137427616607514,0.08589709632355587,89.7819433278051,62.61994559189369,0.4060778469874941,0.004208893765556633,0.1410303893274274,0.06554156105066163,0.0073551311711243655,0.08638214551169292,85.19504862818225,59.325308793166585,0.41094532978945764,0.024916478287004416,0.1539911717474818,0.07430450813999465,0.04127693526342357,0.06623653402982095,65.43036914358579,44.179453946398034,0.4901159156749888,0.027539208843713445,0.15576224019978102,0.07535760790654795,0.045467435285766994,0.06559977285200498,62.885967440721465,42.276341101018396,0.49801637613918726,0.03876806181893179,0.16622209807351832,0.08140449331416556,0.06510729289942047,0.05656523511588914,55.02177826104136,36.34215641572985,0.5386270456920469,0.041072552366925065,0.1682892312548753,0.08252550919965508,0.06889578583784871,0.055905514455944084,51.639083608726544,33.8914790401569,0.5449681170069414
